"Reference code","Product ID","Product name","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations Impact on unit price","Combinations wholesale price"
"A01030-2","665","Ltd Edition - Eagle Moon","10.25"" x 13.25""","16"" x 20""","","","1593","2","170.00","74.00","0.00","70.73"
"A01030-2","665","Ltd Edition - Eagle Moon","10.25"" x 13.25""","16"" x 20""","","","1594","0","335.00","74.00","0.00","0.00"
"A01030-2","665","Ltd Edition - Eagle Moon","10.25"" x 13.25""","16"" x 20""","","","1595","0","335.00","74.00","0.00","0.00"
"A01030-2","665","Ltd Edition - Eagle Moon","10.25"" x 13.25""","16"" x 20""","","","1596","0","335.00","74.00","0.00","0.00"
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","10.25"" x 13.25""","16"" x 20""","99","","1601","2","170.00","74.00","0.00","70.73"
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","10.25"" x 13.25""","16"" x 20""","99","","1602","0","335.00","74.00","0.00","0.00"
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","10.25"" x 13.25""","16"" x 20""","99","","1603","0","335.00","74.00","0.00","0.00"
"A01031-2","667","Ltd Edition - Honoring the Giver of Life","10.25"" x 13.25""","16"" x 20""","99","","1604","0","335.00","74.00","0.00","0.00"
"A01032-2","668","Ltd Edition - Moon Wisdom","10.25"" x 13.25""","16"" x 20""","99","","1605","2","170.00","74.00","0.00","0.00"
"A01032-2","668","Ltd Edition - Moon Wisdom","10.25"" x 13.25""","16"" x 20""","99","","1606","0","335.00","74.00","0.00","0.00"
"A01032-2","668","Ltd Edition - Moon Wisdom","10.25"" x 13.25""","16"" x 20""","99","","1607","0","335.00","74.00","0.00","0.00"
"A01032-2","668","Ltd Edition - Moon Wisdom","10.25"" x 13.25""","16"" x 20""","99","","1608","0","335.00","74.00","0.00","0.00"
"A01034-2","672","Ltd Edition - Reaching Out","10.25"" x 13.25""","16"" x 20""","99","","1617","2","170.00","74.00","0.00","0.00"
"A01034-2","672","Ltd Edition - Reaching Out","10.25"" x 13.25""","16"" x 20""","99","","1618","0","335.00","74.00","0.00","0.00"
"A01034-2","672","Ltd Edition - Reaching Out","10.25"" x 13.25""","16"" x 20""","99","","1619","0","335.00","74.00","0.00","0.00"
"A01034-2","672","Ltd Edition - Reaching Out","10.25"" x 13.25""","16"" x 20""","99","","1620","0","335.00","74.00","0.00","0.00"
"A10046-2","678","Ltd Edition - Geese Spirit","13.25"" x 10.25""","20"" x 16""","99","","1725","2","170.00","74.00","0.00","0.00"
"A10046-2","678","Ltd Edition - Geese Spirit","13.25"" x 10.25""","20"" x 16""","99","","1726","0","335.00","74.00","0.00","0.00"
"A10046-2","678","Ltd Edition - Geese Spirit","13.25"" x 10.25""","20"" x 16""","99","","1727","0","335.00","74.00","0.00","0.00"
"A10046-2","678","Ltd Edition - Geese Spirit","13.25"" x 10.25""","20"" x 16""","99","","1728","0","335.00","74.00","0.00","0.00"
"A08045-2","680","Ltd Edition - Patience","6.75” x 13.5”","12.5” x 19.375”","99","","1889","4","140.00","0.00","0.00","62.70"
"A08045-2","680","Ltd Edition - Patience","6.75” x 13.5”","12.5” x 19.375”","99","","1890","0","305.00","0.00","0.00","0.00"
"A08045-2","680","Ltd Edition - Patience","6.75” x 13.5”","12.5” x 19.375”","99","","1891","0","305.00","0.00","0.00","0.00"
"A08045-2","680","Ltd Edition - Patience","6.75” x 13.5”","12.5” x 19.375”","99","","1892","0","305.00","0.00","0.00","0.00"
"A08019-2","682","Ltd Edition - Unity","12” x 12”","17.75” 17.875”","99","","1805","2","170.00","74.00","0.00","70.73"
"A08019-2","682","Ltd Edition - Unity","12” x 12”","17.75” 17.875”","99","","1806","0","335.00","74.00","0.00","0.00"
"A08019-2","682","Ltd Edition - Unity","12” x 12”","17.75” 17.875”","99","","1807","0","335.00","74.00","0.00","0.00"
"A08019-2","682","Ltd Edition - Unity","12” x 12”","17.75” 17.875”","99","","1808","0","335.00","74.00","0.00","0.00"
"A09006-2","683","Ltd Edition - River Keeper","8” x 13.5”","13.75” x 19.375”","99","","1909","2","155.00","67.30","0.00","0.00"
"A09006-2","683","Ltd Edition - River Keeper","8” x 13.5”","13.75” x 19.375”","99","","1910","0","320.00","67.30","0.00","0.00"
"A09006-2","683","Ltd Edition - River Keeper","8” x 13.5”","13.75” x 19.375”","99","","1911","0","320.00","67.30","0.00","0.00"
"A09006-2","683","Ltd Edition - River Keeper","8” x 13.5”","13.75” x 19.375”","99","","1912","0","320.00","67.30","0.00","0.00"
"A04015-2","684","Ltd Edition - Rebirth","12” x 12”","17.75” 17.875”","99","","1809","2","170.00","74.00","0.00","0.00"
"A04015-2","684","Ltd Edition - Rebirth","12” x 12”","17.75” 17.875”","99","","1810","0","335.00","74.00","0.00","0.00"
"A04015-2","684","Ltd Edition - Rebirth","12” x 12”","17.75” 17.875”","99","","1811","0","335.00","74.00","0.00","0.00"
"A04015-2","684","Ltd Edition - Rebirth","12” x 12”","17.75” 17.875”","99","","1812","0","335.00","74.00","0.00","0.00"
"A04039-2","685","Ltd Edition - Nostalgia","12"" x 12""","17.75"" x 17.875""","99","","1813","3","170.00","74.00","0.00","0.00"
"A04039-2","685","Ltd Edition - Nostalgia","12"" x 12""","17.75"" x 17.875""","99","","1814","0","335.00","74.00","0.00","0.00"
"A04039-2","685","Ltd Edition - Nostalgia","12"" x 12""","17.75"" x 17.875""","99","","1815","0","335.00","74.00","0.00","0.00"
"A04039-2","685","Ltd Edition - Nostalgia","12"" x 12""","17.75"" x 17.875""","99","","1816","0","335.00","74.00","0.00","0.00"
"W12024-2","688","Ltd Edition - Breath of life","13.25"" x 10.25""","20"" x 16""","99","","1729","2","170.00","74.00","0.00","0.00"
"W12024-2","688","Ltd Edition - Breath of life","13.25"" x 10.25""","20"" x 16""","99","","1730","0","335.00","74.00","0.00","0.00"
"W12024-2","688","Ltd Edition - Breath of life","13.25"" x 10.25""","20"" x 16""","99","","1731","0","335.00","74.00","0.00","0.00"
"W12024-2","688","Ltd Edition - Breath of life","13.25"" x 10.25""","20"" x 16""","99","","1732","0","335.00","74.00","0.00","0.00"
"W12017-2","689","Ltd Edition - Synchronicity","10.25"" x 13.25""","16"" x 20""","99","","1629","3","170.00","74.00","0.00","0.00"
"W12017-2","689","Ltd Edition - Synchronicity","10.25"" x 13.25""","16"" x 20""","99","","1630","0","335.00","74.00","0.00","0.00"
"W12017-2","689","Ltd Edition - Synchronicity","10.25"" x 13.25""","16"" x 20""","99","","1631","0","335.00","74.00","0.00","0.00"
"W12017-2","689","Ltd Edition - Synchronicity","10.25"" x 13.25""","16"" x 20""","99","","1632","0","335.00","74.00","0.00","0.00"
"W12008-2","690","Ltd Edition - Winter wolves","13.25"" x 10.25""","20"" x 16""","99","","1733","2","170.00","74.00","0.00","0.00"
"W12008-2","690","Ltd Edition - Winter wolves","13.25"" x 10.25""","20"" x 16""","99","","1734","0","335.00","74.00","0.00","0.00"
